plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP430,Rev,R1,150.0,212.85043334960938,27998.45703125,0.6179950848891034,999.6012573242188,248198.34375,0.24839639674381978,4947
SP430,Rev,R2,0.0,3325.169677734375,11977657.0,1.0832887903120723,674.4327392578125,187505.96875,0.41222830477316913,9969
SP430,Rev,R2,1.0,1482.269775390625,5364640.5,2.441665224244018,608.2262573242188,172418.40625,0.46607230465297783,11404
SP430,Rev,R2,3.0,911.7186279296875,2138079.75,2.5721852518404558,553.6105346679688,162535.8125,0.5303228929665048,4199
SP430,Rev,R2,6.0,684.9549560546875,1415634.75,3.0173604258267948,485.285400390625,119606.1484375,0.5078775940454182,2165
SP430,Rev,R2,25.0,304.561279296875,117093.7109375,1.262362816788078,886.09326171875,268141.59375,0.34151148881143323,2557
SP430,Rev,R2,50.0,189.04464721679688,22745.138671875,0.6364434470258435,1239.7637939453125,320675.71875,0.20863548640935017,7056
SP430,Rev,R2,100.0,142.73098754882812,12578.53125,0.6174380529764392,1293.242431640625,316375.3125,0.1891658325500387,5854
SP430,Rev,R2,150.0,249.84902954101562,27614.201171875,0.4423613253712741,1157.13525390625,280494.0,0.20948615485203875,3162
SP430,Rev,R3,0.0,2274.27978515625,5034545.5,0.9733577426050299,709.812744140625,199103.546875,0.39517677412134844,9625
SP430,Rev,R3,1.0,873.9037475585938,1435059.5,1.879068899346686,630.7810668945312,167381.25,0.42067771677340454,10428
SP430,Rev,R3,3.0,633.2789306640625,565981.875,1.411277589546447,589.1290893554688,170266.546875,0.49057836738469063,2863
SP430,Rev,R3,6.0,507.99285888671875,378050.0,1.4649878671799106,508.6893615722656,125923.0,0.48663097763554825,1567
SP430,Rev,R3,25.0,326.70281982421875,82814.484375,0.7758906819733443,930.1468505859375,230384.140625,0.266286739236962,1871
SP430,Rev,R3,50.0,164.68182373046875,17520.6640625,0.6460397299778152,1464.4488525390625,315428.375,0.14707956693035912,5888
SP430,Rev,R3,100.0,132.63340759277344,11470.2939453125,0.6520316728863808,1327.5732421875,361822.9375,0.20529535081732683,4835
SP430,Rev,R3,150.0,246.98086547851562,53057.51953125,0.8698018484881757,731.927001953125,264736.875,0.49417287056326514,593
SP430ABA,KD,R1,0.0,273.6708984375,32291.353515625,0.43115061833530016,1666.09228515625,389024.78125,0.14014550098648904,13266
SP430ABA,KD,R1,3.0,985.8469848632812,1256462.125,1.2927971220791878,1631.339599609375,324051.03125,0.1217656105922001,7062
SP430ABA,KD,R1,6.0,1592.2081298828125,3089217.75,1.21856541324984,1552.112548828125,368730.21875,0.15306021204220868,3466
SP430ABA,KD,R1,8.0,1587.0062255859375,2828703.5,1.1231303596961584,1483.0654296875,370011.09375,0.16822638874094456,2546
SP430ABA,KD,R1,25.0,1450.1917724609375,1239165.25,0.5892211837244846,634.5421142578125,136406.046875,0.3387760659061385,5901
SP430ABA,KD,R1,50.0,2651.341796875,5946006.0,0.8458510768751786,261.47344970703125,59319.2109375,0.867641211294041,3622
SP430ABA,KD,R1,100.0,1920.0865478515625,2327126.5,0.6312165566390944,329.9078063964844,126472.1171875,1.1620093020682625,5000
SP430ABA,KD,R1,150.0,1442.9952392578125,1205476.75,0.5789339815994387,292.07916259765625,183582.40625,2.151938761681177,4359
SP430ABA,KD,R2,0.0,282.2931823730469,34363.9453125,0.43122332094884663,1638.6605224609375,368468.5625,0.13722159335638806,13807
SP430ABA,KD,R2,3.0,979.66015625,1178339.0,1.2277766269648693,1615.4239501953125,390887.59375,0.1497886311181759,4820
SP430ABA,KD,R2,6.0,1551.9725341796875,3332317.5,1.3834972863017925,1508.2784423828125,399073.15625,0.17542418530718773,2532
SP430ABA,KD,R2,8.0,1587.0457763671875,2713526.0,1.0773456933969907,1461.52880859375,385210.90625,0.18033657367929068,2310
SP430ABA,KD,R2,25.0,1343.218505859375,1015295.5,0.5627287813865117,590.7219848632812,146110.375,0.41871140147870034,5317
SP430ABA,KD,R2,50.0,2989.9501953125,6681849.0,0.7474269421852556,244.40286254882812,51094.234375,0.855380448524955,4409
SP430ABA,KD,R2,100.0,1984.1517333984375,3167766.75,0.8046433649910445,331.30780029296875,124005.78125,1.1297402730264339,5103
SP430ABA,KD,R2,150.0,1561.9476318359375,1422822.625,0.5832004152341047,282.63311767578125,148763.53125,1.8623031612153476,4492
SP430ABA,KD,R3,0.0,266.77569580078125,32591.78125,0.4579473752315085,1558.5828857421875,354734.59375,0.14603055533923195,4710
SP430ABA,KD,R3,3.0,1027.8170166015625,1249456.5,1.1827406772267968,1608.8380126953125,354263.625,0.1368680009996092,4741
SP430ABA,KD,R3,6.0,1446.85400390625,2789752.5,1.3326504630239837,1469.608642578125,373214.1875,0.17280438158560504,2399
SP430ABA,KD,R3,8.0,1401.6480712890625,2959859.25,1.506583102100243,1324.1461181640625,362836.84375,0.20693767103609845,1614
SP430ABA,KD,R3,25.0,1533.3525390625,1453481.75,0.6181950877247054,567.756103515625,138764.328125,0.4304812239737148,6215
